"ikn","name","estimate","lowest_bid","highest_bid"
"2023/1298131","",11216570.42,11061000,12844000
"2023/1281173","",90585033.94,98500000,99500000
"2023/1313916","",2454577.54,2430846.3,2549015.2
"2023/1279069","",29999324.46,29000000,29000000
"2023/1313503","",10253870.35,10139915.6,11934138.97
"2023/1309416","",7422558.23,7296318.88,7999757.11
"2023/1296679","",802915.02,600000,600000
"2023/1194444","","","",""
"2023/1271788","",2253333.33,2250000,2700000
"2023/1204799","",3163385,2649264.9,2818018.18
"2023/1270589","",100298577.83,92500122.8,96956718.3
"2023/1234067","",25859016.43,24780000,33000000
"2023/1256274","",1001241.61,998912.2,1294120
"2023/1241367","",10149828.9,9849000,10350000
"2023/1224971","",1649450,1578400,1578400
"2023/1173598","",3892018.99,2990000,3400000
"2023/1178375","",6240333.22,4850000,5155000
"2023/1192454","",1703816.75,1790000,1790000
"2023/1153545","",1134546.74,950000,998000
"2023/1165301","",1747361.7,1253090,1253090
"2023/1147197","",55835376.52,44387000,79500000
"2023/1136469","",24570000,23300000,23300000
"2023/1123591","",9143622.84,7780000,9900000
"2023/1128956","",2957436.95,2944817.5,2944817.5
"2023/1121943","",10799786.03,8990000,17500000
"2023/1119857","",5343750,5235000,5325000
"2023/1041811","",1645649.79,1620000,1620000
"2023/1070212","",380225793.57,347633750,450000000
"2023/1066829","",11442886.33,9748000,11290000
"2023/1077422","",44732736.25,44299062.5,44489375
"2023/1052479","",2426299.09,2420000,2420000
"2023/1052379","",497963.06,370000,597449.49
"2023/1035187","",776803.97,773900,784000
"2023/1033838","",758281.69,750000,750000
"2023/1018058","",2624197.74,1885172,3098483
"2023/1000357","",45000000,48047000,49100000
"2023/998295","",2006474.01,1999950,2100000
"2023/971510","",6342482.52,6712733.5,9324709.6
"2023/989385","",16769070.25,16200000,19700000
"2023/983826","",1397170.72,1390000,1390000
"2023/981062","",3862051.2,3805000,3805000
"2023/945294","",1396832.45,1302000,1345100
"2023/950893","",166009042.66,187900000,189000000
"2023/973335","",3324024.84,2584343,2649512.82
"2023/960953","",2148913.4,1999798,2575130
"2023/959801","",1030838.67,994146.83,1001410
"2023/923508","",3996419.91,3913532.5,3935849.8
"2023/910467","",8470331.39,9220046.53,9220046.53
"2023/923234","",1700000,1690000,1720000
"2023/927499","",1574579.7,1450000,1600000
"2023/745796","",10361826.32,10200000,10200000
"2023/928953","",26538320.72,26496759.81,29058094.67
"2023/875353","",2020692.36,1796090,1967146
"2023/892049","",36441900.46,34800000,34800000
"2023/890572","",27154868.93,26600000,26600000
"2023/915397","",3044084.65,2643449,3045000
"2023/903911","",144869446.09,172500000,172500000
"2023/899898","",1429621.94,1420000,1500000
"2023/851471","",4040040.29,4150000,4475000
"2023/890769","",3997950.83,2586832,2719465
"2023/883364","",6230147.95,5546658,5546658
"2023/826518","",10321321.06,9950000,9950000
"2023/871047","",1007497.11,717369.12,834812.3
"2023/820282","",12836795.22,13299050,15296221
"2023/848564","",7057390.68,4963168.2,6151237.3
"2023/836407","",7098530.15,6956120,7432615
"2023/832552","",2486020.35,2695000,2734000
"2023/817575","",7246155.6,6870000,7245000
"2023/817346","",3465662.54,2564318,3189723.72
"2023/794591","",3555223.22,2675700,5488632.5
"2023/791244","",3728316.67,2772935.2,4625464.6
"2023/779509","",44470281.3,36501245,36501245
"2023/786059","",2785476.47,2198458.22,3482328
"2023/785837","",2367913.32,1733328.47,2095768.46
"2023/776498","",1368095.91,949837.36,1232596.2
"2023/763135","",1916312.8,1720180.43,2657793.39
"2023/762242","",3453036.71,2482529.16,3304074.1
"2023/764674","",50000000,48500000,48500000
"2023/745063","",2392573.64,1799601.6,2166971.8
"2023/745476","",3945617.65,3590097.6,3805217.8
"2023/745144","",2957743.02,2398739.95,3359753.7
"2023/738621","",10405574.8,9837750,9837750
"2023/735916","",7045318.3,6128063.48,6349000
"2023/735920","",4513644.84,4638641.6,4671509.7
"2023/735900","",4943810.66,3852301.6,8410001.9
"2023/733716","",3029903.64,2293570.03,5554446.65
"2023/729603","",8012303.71,7332907.42,7966289.75
"2023/729555","",5765145.14,4998899.95,4998899.95
"2023/683956","",24872261.48,23800000,24400000
"2023/688485","",15011623.23,12471000,15000000
"2023/689304","",6553634.59,6000000,6000000
"2023/670811","",3474328.94,3947846.25,9946728.3
"2023/686268","",7462148.79,7500000,7500000
"2023/681434","",110597459.83,121845409.75,121845409.75
"2023/678940","",2043230.15,1877000,1877000
"2023/676303","",110597459.83,104539835.33,104539835.33
"2023/676185","",9868334.76,9468000,9468000
"2023/677548","",805833.33,820000,820000
"2023/671355","",11968223.95,12750000,12750000
"2023/648144","",1423222.61,1387000,1387000
"2023/657912","",69475104.74,61059000,62200000
"2023/631691","",2164522.52,2218000,2550000
"2023/629899","",3648156.09,3750000,3750000
"2023/609829","",18114977.33,26899525,39895550
"2023/620287","",148109767.88,147540928.6,158922343.8
"2023/583906","",18143200,17975000,21130000
"2023/589667","",900935.39,949000,1200000
"2023/589323","",1583035.18,1750000,1800000
"2023/548316","",24995738.04,23555000,23555000
"2023/514041","",1727181.01,1696361.72,2200761.76
"2023/498912","",15025008,14414384,14863164
"2023/477860","",2892158.46,2800232.25,3002144.25
"2023/473700","",43525376,38399000,43500000
"2023/480814","",14587538,14250000,14250000
"2023/462749","",8842278.45,9619119.62,13773241.87
"2023/467409","",101675798.5,93350000,93350000
"2023/398732","",39648487.66,45947111.95,96141710.69
"2023/389321","",10656195.42,6999655.02,7597951.6
"2023/323039","",43726850,42000000,42999070
"2023/259264","",299080225,276040000,287500000
"2023/258430","",299903010,275487500,305775000
